site,survival,precision,target
1,3.28,0.18,0
2,2.91,0.19,0
3,-7.09,0.25,0
4,2.35,0.29,0
5,3.51,0.30,0
6,1.03,0.34,0
7,-0.75,0.34,0
8,3.93,0.34,0
9,3.77,0.35,0
10,-5.05,0.37,0
11,1.15,0.40,0
12,3.72,0.41,0
13,1.57,0.41,0
14,0.31,0.41,0
15,2.38,0.42,0
16,-7.14,0.42,0
17,-1.49,0.43,0
18,1.94,0.43,0
19,4.37,0.44,0
20,-0.94,0.45,0
21,-3.58,0.46,0
22,-0.39,0.48,0
23,4.86,0.51,0
24,4.16,0.55,0
25,-0.91,0.55,0
26,-3.36,0.55,0
27,2.38,0.57,0
28,-1.64,0.57,0
29,2.98,0.59,0
30,0.97,0.59,0
31,0.27,0.60,0
32,1.15,0.60,0
33,-0.08,0.61,0
34,-0.52,0.61,0
35,3.57,0.62,0
36,-1.61,0.62,0
37,-0.88,0.62,0
38,-2.93,0.63,0
39,-4.64,0.64,0
40,-1.81,0.65,0
41,3.23,0.66,0
42,2.57,0.67,0
43,5.41,0.68,0
44,0.15,0.68,0
45,-0.70,0.70,0
46,-1.33,0.70,0
47,4.02,0.70,0
48,1.83,0.71,0
49,-0.88,0.71,0
50,-0.29,0.73,0
51,-0.66,0.73,0
52,-1.31,0.74,0
53,-1.21,0.74,0
54,1.36,0.77,0
55,-2.21,0.77,0
56,3.56,0.77,0
57,1.18,0.77,0
58,1.97,0.79,0
59,1.17,0.79,0
60,1.82,0.80,0
61,1.65,0.80,0
62,0.56,0.80,0
63,1.83,0.80,0
64,1.76,0.81,0
65,0.35,0.81,0
66,0.67,0.81,0
67,-2.27,0.83,0
68,-0.43,0.83,0
69,4.10,0.83,0
70,2.34,0.83,0
71,1.15,0.84,0
72,-0.84,0.84,0
73,-2.04,0.84,0
74,-0.29,0.85,0
75,-1.12,0.85,0
76,-0.03,0.86,0
77,-3.12,0.86,0
78,-0.63,0.87,0
79,-0.55,0.87,0
80,-0.06,0.87,0
81,2.23,0.88,0
82,-0.26,0.89,0
83,-1.88,0.89,0
84,3.48,0.89,0
85,-0.45,0.89,0
86,-1.78,0.90,0
87,-0.49,0.90,0
88,2.78,0.90,0
89,-0.66,0.90,0
90,3.45,0.91,0
91,2.41,0.91,0
92,-0.92,0.92,0
93,0.41,0.92,0
94,1.43,0.92,0
95,1.34,0.93,0
96,1.66,0.93,0
97,-0.28,0.93,0
98,-1.93,0.93,0
99,1.29,0.93,0
100,-3.80,0.94,0
101,1.51,0.94,0
102,-1.60,0.95,0
103,-0.54,0.95,0
104,2.78,0.95,0
105,0.98,0.96,0
106,0.84,0.96,0
107,-2.64,0.97,0
108,-3.05,0.97,0
109,1.70,0.98,0
110,-0.49,0.98,0
111,-0.95,0.98,0
112,1.29,0.99,0
113,-0.95,0.99,0
114,1.13,0.99,0
115,-1.76,1.00,0
116,-2.04,1.00,0
117,-0.21,1.00,0
118,2.71,1.00,0
119,-3.20,1.01,0
120,-1.53,1.01,0
121,-0.49,1.02,0
122,0.81,1.02,0
123,-1.13,1.02,0
124,0.95,1.02,0
125,1.08,1.03,0
126,1.44,1.03,0
127,0.86,1.03,0
128,2.24,1.06,0
129,0.49,1.06,0
130,-1.30,1.06,0
131,1.80,1.07,0
132,-1.61,1.07,0
133,-0.28,1.07,0
134,0.94,1.08,0
135,-1.63,1.09,0
136,0.94,1.10,0
137,-0.66,1.11,0
138,-1.09,1.11,0
139,-2.41,1.11,0
140,1.47,1.11,0
141,0.30,1.12,0
142,3.40,1.14,0
143,2.42,1.14,0
144,0.17,1.16,0
145,-0.94,1.17,0
146,-0.57,1.19,0
147,-0.08,1.19,0
148,-1.06,1.20,0
149,0.08,1.20,0
150,0.20,1.20,0
151,0.60,1.21,0
152,-0.29,1.22,0
153,-0.42,1.23,0
154,-0.58,1.23,0
155,-0.27,1.25,0
156,0.96,1.26,0
157,-0.72,1.26,0
158,1.09,1.28,0
159,-0.32,1.29,0
160,2.10,1.29,0
161,0.81,1.31,0
162,0.70,1.31,0
163,0.47,1.32,0
164,0.69,1.32,0
165,-0.83,1.33,0
166,0.38,1.34,0
167,0.39,1.36,0
168,0.79,1.37,0
169,-0.91,1.37,0
170,-0.07,1.39,0
171,-0.75,1.40,0
172,-1.24,1.40,0
173,-1.73,1.43,0
174,-2.57,1.48,0
175,-0.13,1.49,0
176,-0.72,1.55,0
177,-0.37,1.55,0
178,1.60,1.57,0
179,0.61,1.63,0
180,-0.10,1.66,0
181,-1.41,1.70,0
182,-2.46,1.71,0
183,0.58,1.76,0
184,-1.14,1.82,0
185,1.03,1.83,0
186,-0.02,1.88,0
187,0.13,2.00,0
188,-0.89,2.00,0
189,-0.36,2.03,0
190,0.67,2.05,0
191,-0.18,2.14,0
192,0.52,2.17,0
193,-0.27,2.20,0
194,-1.33,2.22,0
195,0.28,2.26,0
196,0.84,2.32,0
197,0.48,2.35,0
198,0.42,2.35,0
199,1.38,2.40,0
200,0.57,2.47,0
201,-0.29,2.52,0
202,1.35,2.59,0
203,1.29,2.60,0
204,-0.13,2.70,0
205,-1.24,2.79,0
